ID,Project Title,Requirements,Domain,Complexity Level,Description
24,Cybersecurity Monitoring Tool,Machine Learning,Cybersecurity,High,"enable developers to detect and respond to security threats in real-time. CSM tools collect data from various sources, including network traffic, system event logs, and user activity. These tools then analyze the data for signs of suspicious or abnormal activity"
24,Cybersecurity Monitoring Tool,Deep Learning,Cybersecurity,High,"enable developers to detect and respond to security threats in real-time. CSM tools collect data from various sources, including network traffic, system event logs, and user activity. These tools then analyze the data for signs of suspicious or abnormal activity"
24,Cybersecurity Monitoring Tool,Neural Networks,Cybersecurity,High,"enable developers to detect and respond to security threats in real-time. CSM tools collect data from various sources, including network traffic, system event logs, and user activity. These tools then analyze the data for signs of suspicious or abnormal activity"
24,Cybersecurity Monitoring Tool,Cybersecurity,Cybersecurity,High,"enable developers to detect and respond to security threats in real-time. CSM tools collect data from various sources, including network traffic, system event logs, and user activity. These tools then analyze the data for signs of suspicious or abnormal activity"
24,Cybersecurity Monitoring Tool,Cloud,Cybersecurity,High,"enable developers to detect and respond to security threats in real-time. CSM tools collect data from various sources, including network traffic, system event logs, and user activity. These tools then analyze the data for signs of suspicious or abnormal activity"
25,Virtual Personal Styling Assistant,Python,Fashion,High,Makes virtual designs using artificial intelligence
25,Virtual Personal Styling Assistant,Machine Learning,Fashion,High,Makes virtual designs using artificial intelligence
25,Virtual Personal Styling Assistant,Deep Learning,Fashion,High,Makes virtual designs using artificial intelligence
25,Virtual Personal Styling Assistant,NLP,Fashion,High,Makes virtual designs using artificial intelligence
25,Virtual Personal Styling Assistant,Computer Vision,Fashion,High,Makes virtual designs using artificial intelligence
25,Virtual Personal Styling Assistant,REST API,Fashion,High,Makes virtual designs using artificial intelligence
26,Cloud-Based HR Management System,Python,HR,Medium,Manages and improves the exploitatation of human resources
26,Cloud-Based HR Management System,Django/Flask,HR,Medium,Manages and improves the exploitatation of human resources
26,Cloud-Based HR Management System,HTML,HR,Medium,Manages and improves the exploitatation of human resources
26,Cloud-Based HR Management System,CSS,HR,Medium,Manages and improves the exploitatation of human resources
26,Cloud-Based HR Management System,JavaScript,HR,Medium,Manages and improves the exploitatation of human resources
26,Cloud-Based HR Management System,REST API,HR,Medium,Manages and improves the exploitatation of human resources
26,Cloud-Based HR Management System,AWS/Azure,HR,Medium,Manages and improves the exploitatation of human resources
27,3D Printing and Modeling,Python,Manufacturing,Medium,design & manufacture products using 3D printing technology
27,3D Printing and Modeling,Blender,Manufacturing,Medium,design & manufacture products using 3D printing technology
27,3D Printing and Modeling,CAD software,Manufacturing,Medium,design & manufacture products using 3D printing technology
27,3D Printing and Modeling,3D printing technologies,Manufacturing,Medium,design & manufacture products using 3D printing technology
28,Sports Analytics,Python,Sports Analytics,High,plugging statistics into mathematical models to predict the outcome of a given play or game
28,Sports Analytics,SQL,Sports Analytics,High,plugging statistics into mathematical models to predict the outcome of a given play or game
28,Sports Analytics,Pandas,Sports Analytics,High,plugging statistics into mathematical models to predict the outcome of a given play or game
28,Sports Analytics,Matplotlib,Sports Analytics,High,plugging statistics into mathematical models to predict the outcome of a given play or game
28,Sports Analytics,Scikit-learn,Sports Analytics,High,plugging statistics into mathematical models to predict the outcome of a given play or game
28,Sports Analytics,Django,Sports Analytics,High,plugging statistics into mathematical models to predict the outcome of a given play or game
28,Sports Analytics,Flask,Sports Analytics,High,plugging statistics into mathematical models to predict the outcome of a given play or game
29,Speech Recognition and Synthesis,Python,Speech Recognition,High,"artificial simulation of human speech with by a computer or other device. The counterpart of the voice recognition, speech synthesis is mostly used for translating text information into audio information and in applications such as voice-enabled services and mobile applications."
29,Speech Recognition and Synthesis,Quantum Computing,Speech Recognition,High,"artificial simulation of human speech with by a computer or other device. The counterpart of the voice recognition, speech synthesis is mostly used for translating text information into audio information and in applications such as voice-enabled services and mobile applications."
29,Speech Recognition and Synthesis,Quantum Mechanics,Speech Recognition,High,"artificial simulation of human speech with by a computer or other device. The counterpart of the voice recognition, speech synthesis is mostly used for translating text information into audio information and in applications such as voice-enabled services and mobile applications."
31,Quantum Computing,Python,Computing,High,Denelops computer technology based on the application of the principles of quantum theory
31,Quantum Computing,Quantum Computing,Computing,High,Denelops computer technology based on the application of the principles of quantum theory
31,Quantum Computing,Quantum Mechanics,Computing,High,Denelops computer technology based on the application of the principles of quantum theory
32,Digital Twin Technology,Python,IoT,High,Makes a virtual model of a physical object and uses real-time data sent from sensors
32,Digital Twin Technology,Machine Learning,IoT,High,Makes a virtual model of a physical object and uses real-time data sent from sensors
32,Digital Twin Technology,Deep Learning,IoT,High,Makes a virtual model of a physical object and uses real-time data sent from sensors
32,Digital Twin Technology,Cloud Computing,IoT,High,Makes a virtual model of a physical object and uses real-time data sent from sensors
32,Digital Twin Technology,IoT,IoT,High,Makes a virtual model of a physical object and uses real-time data sent from sensors
33,Environmental Monitoring System,Python,Environmental,Medium,"works on tools and techniques designed to monitor the environment,characterize its quality"
33,Environmental Monitoring System,Node.js,Environmental,Medium,"works on tools and techniques designed to monitor the environment,characterize its quality"
33,Environmental Monitoring System,Raspberry Pi,Environmental,Medium,"works on tools and techniques designed to monitor the environment,characterize its quality"
33,Environmental Monitoring System,Arduino,Environmental,Medium,"works on tools and techniques designed to monitor the environment,characterize its quality"
33,Environmental Monitoring System,MQTT,Environmental,Medium,"works on tools and techniques designed to monitor the environment,characterize its quality"
33,Environmental Monitoring System,HTTP,Environmental,Medium,"works on tools and techniques designed to monitor the environment,characterize its quality"
33,Environmental Monitoring System,IoT platforms,Environmental,Medium,"works on tools and techniques designed to monitor the environment,characterize its quality"
34,Natural Disaster Prediction,Python,Disaster,High,looking for patterns in data to determine where and when natural disasters are likely to occur
34,Natural Disaster Prediction,Machine Learning,Disaster,High,looking for patterns in data to determine where and when natural disasters are likely to occur
34,Natural Disaster Prediction,Deep Learning,Disaster,High,looking for patterns in data to determine where and when natural disasters are likely to occur
34,Natural Disaster Prediction,NLP,Disaster,High,looking for patterns in data to determine where and when natural disasters are likely to occur
34,Natural Disaster Prediction,Cloud Computing,Disaster,High,looking for patterns in data to determine where and when natural disasters are likely to occur
35,Cryptocurrency Trading Bot,Python,Finance,High,A set of platform-specific scripts which can be programmed to trade for you
35,Cryptocurrency Trading Bot,Blockchain,Finance,High,A set of platform-specific scripts which can be programmed to trade for you
35,Cryptocurrency Trading Bot,Cryptocurrency,Finance,High,A set of platform-specific scripts which can be programmed to trade for you
35,Cryptocurrency Trading Bot,REST API,Finance,High,A set of platform-specific scripts which can be programmed to trade for you
36,Online Learning Platform,Python,Education,Intermediate,"a webspace or portal for educational content and resources that offers a student everything they need in one place: lectures, resources, opportunities to meet and chat with other students, and more"
36,Online Learning Platform, Django (for web development),Education,Intermediate,"a webspace or portal for educational content and resources that offers a student everything they need in one place: lectures, resources, opportunities to meet and chat with other students, and more"
36,Online Learning Platform,Flask (for web development),Education,Intermediate,"a webspace or portal for educational content and resources that offers a student everything they need in one place: lectures, resources, opportunities to meet and chat with other students, and more"
36,Online Learning Platform,HTML,Education,Intermediate,"a webspace or portal for educational content and resources that offers a student everything they need in one place: lectures, resources, opportunities to meet and chat with other students, and more"
36,Online Learning Platform,CSS,Education,Intermediate,"a webspace or portal for educational content and resources that offers a student everything they need in one place: lectures, resources, opportunities to meet and chat with other students, and more"
36,Online Learning Platform,JavaScript (for frontend development),Education,Intermediate,"a webspace or portal for educational content and resources that offers a student everything they need in one place: lectures, resources, opportunities to meet and chat with other students, and more"
36,Online Learning Platform,REST API,Education,Intermediate,"a webspace or portal for educational content and resources that offers a student everything they need in one place: lectures, resources, opportunities to meet and chat with other students, and more"
36,Online Learning Platform,SQL database,Education,Intermediate,"a webspace or portal for educational content and resources that offers a student everything they need in one place: lectures, resources, opportunities to meet and chat with other students, and more"
36,Online Learning Platform,NoSQL database,Education,Intermediate,"a webspace or portal for educational content and resources that offers a student everything they need in one place: lectures, resources, opportunities to meet and chat with other students, and more"
36,Online Learning Platform,Machine Learning (optional),Education,Intermediate,"a webspace or portal for educational content and resources that offers a student everything they need in one place: lectures, resources, opportunities to meet and chat with other students, and more"
37,Autonomous Delivery Drones,Python,Logistics,Advanced,a drone delivering products as quickly possible and reduce costs
37,Autonomous Delivery Drones,Machine Learning,Logistics,Advanced,a drone delivering products as quickly possible and reduce costs
37,Autonomous Delivery Drones,Computer Vision,Logistics,Advanced,a drone delivering products as quickly possible and reduce costs
37,Autonomous Delivery Drones,Robotics,Logistics,Advanced,a drone delivering products as quickly possible and reduce costs
37,Autonomous Delivery Drones,IoT,Logistics,Advanced,a drone delivering products as quickly possible and reduce costs
37,Autonomous Delivery Drones,Cloud Computing,Logistics,Advanced,a drone delivering products as quickly possible and reduce costs
38,Chatbot for Customer Support,Python,Customer Service,Intermediate,"a conversational commerce tool that provides customer assistance via text chat, voice command or both"
38,Chatbot for Customer Support, Natural Language Processing (NLP),Customer Service,Intermediate,"a conversational commerce tool that provides customer assistance via text chat, voice command or both"
38,Chatbot for Customer Support,Machine Learning,Customer Service,Intermediate,"a conversational commerce tool that provides customer assistance via text chat, voice command or both"
38,Chatbot for Customer Support,REST API,Customer Service,Intermediate,"a conversational commerce tool that provides customer assistance via text chat, voice command or both"
39,AI-Powered Financial Advisor,Python,Finance,Advanced,a virtual financial advisor powered by artificial intelligence (AI) that employs an algorithm to deliver an automated selection of financial advisory services.
39,AI-Powered Financial Advisor,Machine Learning,Finance,Advanced,a virtual financial advisor powered by artificial intelligence (AI) that employs an algorithm to deliver an automated selection of financial advisory services.
39,AI-Powered Financial Advisor,Deep Learning,Finance,Advanced,a virtual financial advisor powered by artificial intelligence (AI) that employs an algorithm to deliver an automated selection of financial advisory services.
39,AI-Powered Financial Advisor,Natural Language Processing (NLP),Finance,Advanced,a virtual financial advisor powered by artificial intelligence (AI) that employs an algorithm to deliver an automated selection of financial advisory services.
39,AI-Powered Financial Advisor,Financial Markets,Finance,Advanced,a virtual financial advisor powered by artificial intelligence (AI) that employs an algorithm to deliver an automated selection of financial advisory services.
40,Smart Home Automation System,Python,Home Automation,Intermediate,"allow you to view and control the system with an Internet-connected device. It offers a wealth of information about your house, which could include anything from checking security system status to the current temperature in your house."
40,Smart Home Automation System,IoT,Home Automation,Intermediate,"allow you to view and control the system with an Internet-connected device. It offers a wealth of information about your house, which could include anything from checking security system status to the current temperature in your house."
40,Smart Home Automation System,Raspberry Pi (for hardware programming),Home Automation,Intermediate,"allow you to view and control the system with an Internet-connected device. It offers a wealth of information about your house, which could include anything from checking security system status to the current temperature in your house."
40,Smart Home Automation System,Arduino (for hardware programming),Home Automation,Intermediate,"allow you to view and control the system with an Internet-connected device. It offers a wealth of information about your house, which could include anything from checking security system status to the current temperature in your house."
40,Smart Home Automation System,REST API,Home Automation,Intermediate,"allow you to view and control the system with an Internet-connected device. It offers a wealth of information about your house, which could include anything from checking security system status to the current temperature in your house."
40,Smart Home Automation System,Cloud Computing,Home Automation,Intermediate,"allow you to view and control the system with an Internet-connected device. It offers a wealth of information about your house, which could include anything from checking security system status to the current temperature in your house."
41,Digital Asset Management System,Python,Digital Asset Management,Intermediate,Digital asset management system helps organizations organize store recover and share digital assets
41,Digital Asset Management System,Django (for web development),Digital Asset Management,Intermediate,Digital asset management system helps organizations organize store recover and share digital assets
41,Digital Asset Management System,Flask (for web development),Digital Asset Management,Intermediate,Digital asset management system helps organizations organize store recover and share digital assets
41,Digital Asset Management System,HTML,Digital Asset Management,Intermediate,Digital asset management system helps organizations organize store recover and share digital assets
41,Digital Asset Management System, CSS,Digital Asset Management,Intermediate,Digital asset management system helps organizations organize store recover and share digital assets
41,Digital Asset Management System,JavaScript (for frontend development),Digital Asset Management,Intermediate,Digital asset management system helps organizations organize store recover and share digital assets
